Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Song Duration,Artist Genres,Artist Popularity,Artist uri,Song uri,Artist Image url
Sexy Bitch (feat. Akon),David Guetta,69,0.813,0.627,130.011,0.0486,195853,"['Big Room', 'Dance Pop', 'EDM', 'Pop', 'Pop Dance']",87,1Cs0zKBU1kc0i8ypK3B9ai,0uXO2GrNiIb1xHT9LUdxZE,https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f
Memories (feat. Kid Cudi),David Guetta,71,0.561,0.87,129.98,0.343,210093,"['Big Room', 'Dance Pop', 'EDM', 'Pop', 'Pop Dance']",87,1Cs0zKBU1kc0i8ypK3B9ai,4dTaAiV9xFFCxnPur9c9yL,https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f
Los Tamales,Dennis Cruz,40,0.797,0.706,123.998,0.09,334838,['Latin Tech House'],46,27mWOSZjlpmtoqsRjRwQyu,6SLsMEPjJjUY3tZUzHsT6z,https://i.scdn.co/image/ab6761610000f178ea9f7b97c530be2467ef6947
What U Doing,Dennis Cruz,52,0.812,0.581,126.006,0.0754,229523,['Latin Tech House'],46,27mWOSZjlpmtoqsRjRwQyu,6bU9aYY97cCrzsx1IKdxZG,https://i.scdn.co/image/ab6761610000f178ea9f7b97c530be2467ef6947
Revolution feat. DJ Holographic,Dennis Cruz,41,0.806,0.612,126.008,0.0724,216354,['Latin Tech House'],46,27mWOSZjlpmtoqsRjRwQyu,5NkGQPUlqyJox69Am1i8xn,https://i.scdn.co/image/ab6761610000f178ea9f7b97c530be2467ef6947
El Sueño,Dennis Cruz,52,0.898,0.643,123.999,0.0638,397149,['Latin Tech House'],46,27mWOSZjlpmtoqsRjRwQyu,5BuFt1sQmebCdqwAJ0vZmi,https://i.scdn.co/image/ab6761610000f178ea9f7b97c530be2467ef6947
Bad Behaviour,Dennis Cruz,43,0.867,0.539,123.004,0.0835,407861,['Latin Tech House'],46,27mWOSZjlpmtoqsRjRwQyu,3VLBjYS5Dhbw2vUd4ku4PU,https://i.scdn.co/image/ab6761610000f178ea9f7b97c530be2467ef6947
Camaron Pelao,Deorro,53,0.628,0.974,155.077,0.25,210349,"['Dutch House', 'EDM', 'Electro House', 'Melbourne Bounce', 'Melbourne Bounce International', 'Pop Dance', 'Progressive Electro House']",65,6VD4UEUPvtsemqD3mmTqCR,4QC5C5FOQtEcuw0ZDrgTxJ,https://i.scdn.co/image/ab6761610000f1786927317407c8e2499d0cd39f
Flashlight,Deorro,53,0.705,0.949,128.014,0.0454,232500,"['Dutch House', 'EDM', 'Electro House', 'Melbourne Bounce', 'Melbourne Bounce International', 'Pop Dance', 'Progressive Electro House']",65,6VD4UEUPvtsemqD3mmTqCR,4soJPaN3etpZC72tHZztw3,https://i.scdn.co/image/ab6761610000f1786927317407c8e2499d0cd39f
Bailar (feat. Elvis Crespo) - Radio Edit,Deorro,62,0.793,0.848,128.104,0.121,137661,"['Dutch House', 'EDM', 'Electro House', 'Melbourne Bounce', 'Melbourne Bounce International', 'Pop Dance', 'Progressive Electro House']",65,6VD4UEUPvtsemqD3mmTqCR,1HCw8XKtTgWWU3JlEUR0qQ,https://i.scdn.co/image/ab6761610000f1786927317407c8e2499d0cd39f
