Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Artist Genres,Artist Popularity,Artist uri,Song uri,Song Duration
Jungle,Alok,82,0.596,0.667,140.002,0.0295,"['electro house', 'pop nacional', 'sertanejo universitario', 'slap house']",76,0NGAZxHanS9e0iNHpR8f2W,0OvO2X2Q3i98dc5RcgEN3x,180000
Deep Down (feat. Never Dull),Alok,81,0.687,0.818,125.952,0.0778,"['electro house', 'pop nacional', 'sertanejo universitario', 'slap house']",76,0NGAZxHanS9e0iNHpR8f2W,7MIhUdNJtaOnDmC5nBC1fb,180000
Car Keys (Ayla),Alok,80,0.675,0.986,126.004,0.0974,"['electro house', 'pop nacional', 'sertanejo universitario', 'slap house']",76,0NGAZxHanS9e0iNHpR8f2W,00E0Z2jrF7reoHps4zcbWQ,180000
Hear Me Now,Alok,78,0.778,0.463,121.999,0.0389,"['electro house', 'pop nacional', 'sertanejo universitario', 'slap house']",76,0NGAZxHanS9e0iNHpR8f2W,39cmB3ZoTOLwOTq7tMNqKa,180000
All By Myself,Alok,76,0.662,0.848,123.041,0.0346,"['electro house', 'pop nacional', 'sertanejo universitario', 'slap house']",76,0NGAZxHanS9e0iNHpR8f2W,5Hp4xFihdOE2dmDzxWcBFb,180000
Piece Of Your Heart - Alok Remix,Alok,76,0.797,0.86,124.033,0.0413,"['electro house', 'pop nacional', 'sertanejo universitario', 'slap house']",76,0NGAZxHanS9e0iNHpR8f2W,6iW38RGqdDGOofmz2HeXLW,180000
Work With My Love,Alok,75,0.618,0.848,123.967,0.0574,"['electro house', 'pop nacional', 'sertanejo universitario', 'slap house']",76,0NGAZxHanS9e0iNHpR8f2W,6PX5CRJFn24G3cypjNO6yw,180000
Headlights (feat. KIDDO),Alok,72,0.626,0.754,100.015,0.0269,"['electro house', 'pop nacional', 'sertanejo universitario', 'slap house']",76,0NGAZxHanS9e0iNHpR8f2W,7BhmwvCdQZNwuQXSHw5TzP,180000
Astronaut In The Ocean - Alok Remix,Alok,72,0.53,0.82,171.933,0.0438,"['electro house', 'pop nacional', 'sertanejo universitario', 'slap house']",76,0NGAZxHanS9e0iNHpR8f2W,1yX6sh2TkrT5hsXodo7aS6,180000
Don't Say Goodbye (feat. Tove Lo),Alok,72,0.698,0.719,120.062,0.0455,"['electro house', 'pop nacional', 'sertanejo universitario', 'slap house']",76,0NGAZxHanS9e0iNHpR8f2W,0GTPmh5G40joBg93vcSQNq,180000
Deja Vu,Anabel Englund,57,0.87,0.532,121.986,0.0951,[],46,3ky8xBRraNNzxzXEw6Ga0c,5w7sO0tWXMmctwKnJZu24v,180000
LIGHTWAVES,Anabel Englund,55,0.647,0.908,125.953,0.0324,[],46,3ky8xBRraNNzxzXEw6Ga0c,46JbXTR6VNrnnoJJAsn6gN,180000
Midnight Rapture,Anabel Englund,28,0.689,0.897,117.979,0.0437,[],46,3ky8xBRraNNzxzXEw6Ga0c,2r2iXx5hvklZXkXKwVrqvU,180000
LOW,Anabel Englund,49,0.678,0.807,126.024,0.0383,[],46,3ky8xBRraNNzxzXEw6Ga0c,4Ko0kuCmsJW0HMKkQM7Xw8,180000
Anything 4 U,Anabel Englund,47,0.666,0.865,125.037,0.0421,[],46,3ky8xBRraNNzxzXEw6Ga0c,0MuAaWayfAeq0C6WDM15Mz,180000
So Hot - MK x Nightlapse Remix,Anabel Englund,33,0.642,0.91,123.02,0.0282,[],46,3ky8xBRraNNzxzXEw6Ga0c,61znvZmcLGUA0I4ph4IqeC,180000
Waiting For You,Anabel Englund,27,0.622,0.851,122.983,0.0301,[],46,3ky8xBRraNNzxzXEw6Ga0c,3uuHc2dliwIln1oAmSWEZb,180000
Need Me Right,Anabel Englund,45,0.767,0.821,121.996,0.0386,[],46,3ky8xBRraNNzxzXEw6Ga0c,6bGTVNNA07wWwyPFPa7PyD,180000
Underwater,Anabel Englund,24,0.638,0.631,121.966,0.0329,[],46,3ky8xBRraNNzxzXEw6Ga0c,0jEfCWdoYHe6jMaDKwTz3x,180000
a lesson in chemistry,Anabel Englund,43,0.744,0.84,130.017,0.0567,[],46,3ky8xBRraNNzxzXEw6Ga0c,4PoCaIK1ATTxQvqtTTXFzz,180000
Ray Of Solar - Anfisa Letyago Remix,Anfisa Letyago,51,0.741,0.598,141.034,0.0498,[],38,7icoOm5fKKPo49jVxoj1Cq,72Y9Cqx3RnFFXtHUqD65WR,180000
Rosso Profondo,Anfisa Letyago,39,0.722,0.845,133.998,0.0574,[],38,7icoOm5fKKPo49jVxoj1Cq,0Regj8wXZsDesHK6DrWaDg,180000
Haze - Marlon Hoffstadt AKA DJ Daddy Trance Remix,Anfisa Letyago,45,0.711,0.952,150.033,0.0385,[],38,7icoOm5fKKPo49jVxoj1Cq,3IAxJkFW0AeEHhmSFHjX0G,180000
