Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Song Duration,Artist Genres,Artist Popularity,Artist uri,Song uri,Artist Image url
Atmosphere,FISHER,78,0.762,0.895,125.979,0.0737,182857,"['Australian House', 'House']",68,1VJ0briNOlXRtJUAzoUJdt,1aNUSKBe6UMyMk3pEu9ws7,https://i.scdn.co/image/ab6761610000f178cd3fb82b1270a175ed000118
"World, Hold On - FISHER Rework",FISHER,63,0.781,0.889,127.01,0.0573,178304,"['Australian House', 'House']",68,1VJ0briNOlXRtJUAzoUJdt,6quGF3Kvzd5WYEEuCmvCe1,https://i.scdn.co/image/ab6761610000f178cd3fb82b1270a175ed000118
Losing It,FISHER,75,0.76,0.964,125.003,0.0577,248035,"['Australian House', 'House']",68,1VJ0briNOlXRtJUAzoUJdt,6ho0GyrWZN3mhi9zVRW7xi,https://i.scdn.co/image/ab6761610000f178cd3fb82b1270a175ed000118
TAKE IT OFF,FISHER,73,0.884,0.707,127.013,0.202,194604,"['Australian House', 'House']",68,1VJ0briNOlXRtJUAzoUJdt,7zp9FOU4cjFdGN1zdWTvcB,https://i.scdn.co/image/ab6761610000f178cd3fb82b1270a175ed000118
Stop It,FISHER,68,0.859,0.824,124.015,0.0512,163790,"['Australian House', 'House']",68,1VJ0briNOlXRtJUAzoUJdt,627JZ3dVd88Xc5IoHOeNT5,https://i.scdn.co/image/ab6761610000f178cd3fb82b1270a175ed000118
You Little Beauty,FISHER,68,0.926,0.951,123.987,0.0924,206587,"['Australian House', 'House']",68,1VJ0briNOlXRtJUAzoUJdt,1gRQxbfL4ULWyTosgXSbWT,https://i.scdn.co/image/ab6761610000f178cd3fb82b1270a175ed000118
Yeah The Girls,FISHER,65,0.755,0.968,126.007,0.0424,194310,"['Australian House', 'House']",68,1VJ0briNOlXRtJUAzoUJdt,2ST4u9GusI2ddDfuMvXA5l,https://i.scdn.co/image/ab6761610000f178cd3fb82b1270a175ed000118
It's A Killa,FISHER,61,0.78,0.914,125.986,0.0435,200028,"['Australian House', 'House']",68,1VJ0briNOlXRtJUAzoUJdt,2cAYjs1WvosMFadzTDmmzD,https://i.scdn.co/image/ab6761610000f178cd3fb82b1270a175ed000118
Voodoo,Gorgon City,62,0.663,0.883,129.057,0.0593,214120,"['Future Garage', 'House', 'Pop Dance', 'UK Dance']",60,4VNQWV2y1E97Eqo2D5UTjx,3hQSct6Ay5azm9dfFxHixY,https://i.scdn.co/image/ab6761610000f178cd22c444dc31b7e23fdc7630
You've Done Enough,Gorgon City,63,0.676,0.782,125.057,0.0344,212893,"['Future Garage', 'House', 'Pop Dance', 'UK Dance']",60,4VNQWV2y1E97Eqo2D5UTjx,77VqW84V88aKD8Bi8CzEsP,https://i.scdn.co/image/ab6761610000f178cd22c444dc31b7e23fdc7630
Remember (feat. Stevie Appleton),Gorgon City,64,0.655,0.89,127.979,0.0611,199967,"['Future Garage', 'House', 'Pop Dance', 'UK Dance']",60,4VNQWV2y1E97Eqo2D5UTjx,5Cv9UBYh2VkiCspwh4Wog5,https://i.scdn.co/image/ab6761610000f178cd22c444dc31b7e23fdc7630
Ready For Your Love,Gorgon City,47,0.677,0.753,121.939,0.154,198880,"['Future Garage', 'House', 'Pop Dance', 'UK Dance']",60,4VNQWV2y1E97Eqo2D5UTjx,5wGLQvq6JoxYZX7V3ymPS5,https://i.scdn.co/image/ab6761610000f178cd22c444dc31b7e23fdc7630
Imagination,Gorgon City,52,0.677,0.706,121.994,0.0324,217960,"['Future Garage', 'House', 'Pop Dance', 'UK Dance']",60,4VNQWV2y1E97Eqo2D5UTjx,2VGTe5PkHOlZuayLYDjtb1,https://i.scdn.co/image/ab6761610000f178cd22c444dc31b7e23fdc7630
Nobody,Gorgon City,57,0.697,0.664,120.041,0.0275,199013,"['Future Garage', 'House', 'Pop Dance', 'UK Dance']",60,4VNQWV2y1E97Eqo2D5UTjx,1pJwEPkqfgtmV68vYQ7RyD,https://i.scdn.co/image/ab6761610000f178cd22c444dc31b7e23fdc7630
House Arrest,Gorgon City,40,0.654,0.818,123.982,0.0332,216441,"['Future Garage', 'House', 'Pop Dance', 'UK Dance']",60,4VNQWV2y1E97Eqo2D5UTjx,3KJkOfudvW9zxBwjuRBK1G,https://i.scdn.co/image/ab6761610000f178cd22c444dc31b7e23fdc7630
Lost & Found,Gorgon City,50,0.758,0.601,124.964,0.034,239146,"['Future Garage', 'House', 'Pop Dance', 'UK Dance']",60,4VNQWV2y1E97Eqo2D5UTjx,4pv3fXGEcTL8wquXrf8sjr,https://i.scdn.co/image/ab6761610000f178cd22c444dc31b7e23fdc7630
Ferrari,James Hype,83,0.847,0.69,125.004,0.0493,186661,"['Deep Groove House', 'House', 'Pop Dance', 'UK Dance']",67,43BxCL6t4c73BQnIJtry5v,4zN21mbAuaD0WqtmaTZZeP,https://i.scdn.co/image/ab6761610000f1783735de17f641144240511000
Drums (Feat. Kim Petras),James Hype,73,0.803,0.834,128.008,0.0366,152400,"['Deep Groove House', 'House', 'Pop Dance', 'UK Dance']",67,43BxCL6t4c73BQnIJtry5v,4AFlChQQJbB1MOCgOiiyYc,https://i.scdn.co/image/ab6761610000f1783735de17f641144240511000
Lose Control,James Hype,72,0.714,0.936,128.011,0.0426,173437,"['Deep Groove House', 'House', 'Pop Dance', 'UK Dance']",67,43BxCL6t4c73BQnIJtry5v,3DLWVhaowApIGw1JnJj6GS,https://i.scdn.co/image/ab6761610000f1783735de17f641144240511000
You Give Me A Feeling,James Hype,70,0.761,0.867,126.03,0.0499,185896,"['Deep Groove House', 'House', 'Pop Dance', 'UK Dance']",67,43BxCL6t4c73BQnIJtry5v,2qRKTg13LJGHO4fmQTWT7x,https://i.scdn.co/image/ab6761610000f1783735de17f641144240511000
Number 1,James Hype,66,0.707,0.969,129.984,0.0882,145200,"['Deep Groove House', 'House', 'Pop Dance', 'UK Dance']",67,43BxCL6t4c73BQnIJtry5v,5HadIAY3Oray8VKuv3shgQ,https://i.scdn.co/image/ab6761610000f1783735de17f641144240511000
Ferrari - Oliver Heldens Remix,James Hype,66,0.73,0.903,124.957,0.0427,188640,"['Deep Groove House', 'House', 'Pop Dance', 'UK Dance']",67,43BxCL6t4c73BQnIJtry5v,0oCNRAmwLo4zHDpCKpjQtI,https://i.scdn.co/image/ab6761610000f1783735de17f641144240511000
Ferrari - Remix,James Hype,65,0.818,0.728,124.974,0.0724,172000,"['Deep Groove House', 'House', 'Pop Dance', 'UK Dance']",67,43BxCL6t4c73BQnIJtry5v,3XucsgiwXb8KPn9Csf9Zmu,https://i.scdn.co/image/ab6761610000f1783735de17f641144240511000
More Than Friends,James Hype,63,0.81,0.885,122.985,0.108,140698,"['Deep Groove House', 'House', 'Pop Dance', 'UK Dance']",67,43BxCL6t4c73BQnIJtry5v,53SnCRcGrB2UCqNGyYZhJD,https://i.scdn.co/image/ab6761610000f1783735de17f641144240511000
Escape (feat. Hayla),Kaskade,71,0.659,0.798,126.064,0.0749,240445,"['EDM', 'Electro House', 'Pop Dance', 'Progressive Electro House', 'Progressive House', 'Vocal House']",63,6TQj5BFPooTa08A7pk8AQ1,3VpxEo6vMpi4rQ6t2WVVkK,https://i.scdn.co/image/ab6761610000f178c96f32c30b4c236b5b9c40fa
I Remember - John Summit Remix,Kaskade,63,0.531,0.855,126.018,0.0335,240000,"['EDM', 'Electro House', 'Pop Dance', 'Progressive Electro House', 'Progressive House', 'Vocal House']",63,6TQj5BFPooTa08A7pk8AQ1,3zFsJdVCu29em7VUB3Ujqp,https://i.scdn.co/image/ab6761610000f178c96f32c30b4c236b5b9c40fa
Sacrifice,Kaskade,64,0.667,0.956,129.991,0.287,279692,"['EDM', 'Electro House', 'Pop Dance', 'Progressive Electro House', 'Progressive House', 'Vocal House']",63,6TQj5BFPooTa08A7pk8AQ1,76YXmewvHFse7tBeOTtSx3,https://i.scdn.co/image/ab6761610000f178c96f32c30b4c236b5b9c40fa
Escape - John Summit Remix,Kaskade,61,0.631,0.84,125.992,0.0347,226666,"['EDM', 'Electro House', 'Pop Dance', 'Progressive Electro House', 'Progressive House', 'Vocal House']",63,6TQj5BFPooTa08A7pk8AQ1,68lTEhMEx4MxDCJypT6bXE,https://i.scdn.co/image/ab6761610000f178c96f32c30b4c236b5b9c40fa
Alive (feat. The Moth & The Flame),Kaskade,53,0.653,0.886,124.004,0.0685,308709,"['EDM', 'Electro House', 'Pop Dance', 'Progressive Electro House', 'Progressive House', 'Vocal House']",63,6TQj5BFPooTa08A7pk8AQ1,1wbQbpNwQzcrgphXzWcgw7,https://i.scdn.co/image/ab6761610000f178c96f32c30b4c236b5b9c40fa
In the Morning,Kaskade,36,0.711,0.76,122.992,0.0366,247013,"['EDM', 'Electro House', 'Pop Dance', 'Progressive Electro House', 'Progressive House', 'Vocal House']",63,6TQj5BFPooTa08A7pk8AQ1,7v0umDmPFMzmkBT1uWSYIL,https://i.scdn.co/image/ab6761610000f178c96f32c30b4c236b5b9c40fa
Believer - Kaskade Remix,Kaskade,59,0.73,0.634,126.022,0.0509,190893,"['EDM', 'Electro House', 'Pop Dance', 'Progressive Electro House', 'Progressive House', 'Vocal House']",63,6TQj5BFPooTa08A7pk8AQ1,6aiHF2IbJr6lG4Vu9em8KF,https://i.scdn.co/image/ab6761610000f178c96f32c30b4c236b5b9c40fa
On Your Mind,Kaskade,44,0.835,0.834,107.982,0.0884,320926,"['EDM', 'Electro House', 'Pop Dance', 'Progressive Electro House', 'Progressive House', 'Vocal House']",63,6TQj5BFPooTa08A7pk8AQ1,5QoLl71CrQlFgm11D39aX4,https://i.scdn.co/image/ab6761610000f178c96f32c30b4c236b5b9c40fa
The Middle,Zedd,82,0.753,0.657,107.01,0.0449,184732,"['Complextro', 'EDM', 'German Techno', 'Pop', 'Pop Dance']",71,2qxJFvFYMEDqd7ui6kSAcq,09IStsImFySgyp0pIQdqAc,https://i.scdn.co/image/ab6761610000f178f801e3d9ecb568a1c3c62393
Stay,Zedd,78,0.69,0.622,102.04,0.0622,210090,"['Complextro', 'EDM', 'German Techno', 'Pop', 'Pop Dance']",71,2qxJFvFYMEDqd7ui6kSAcq,6uBhi9gBXWjanegOb2Phh0,https://i.scdn.co/image/ab6761610000f178f801e3d9ecb568a1c3c62393
Clarity,Zedd,77,0.509,0.781,128.0,0.072,271426,"['Complextro', 'EDM', 'German Techno', 'Pop', 'Pop Dance']",71,2qxJFvFYMEDqd7ui6kSAcq,60wwxj6Dd9NJlirf84wr2c,https://i.scdn.co/image/ab6761610000f178f801e3d9ecb568a1c3c62393
Lost In Japan - Remix,Zedd,61,0.706,0.855,107.184,0.215,201253,"['Complextro', 'EDM', 'German Techno', 'Pop', 'Pop Dance']",71,2qxJFvFYMEDqd7ui6kSAcq,575NJxNUVDqwJGdzBrlLbv,https://i.scdn.co/image/ab6761610000f178f801e3d9ecb568a1c3c62393
Beautiful Now,Zedd,71,0.628,0.833,128.003,0.0282,218293,"['Complextro', 'EDM', 'German Techno', 'Pop', 'Pop Dance']",71,2qxJFvFYMEDqd7ui6kSAcq,2ISSQPb9LHHiV6ng2NXosL,https://i.scdn.co/image/ab6761610000f178f801e3d9ecb568a1c3c62393
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,66,0.596,0.738,127.961,0.0411,217346,"['Complextro', 'EDM', 'German Techno', 'Pop', 'Pop Dance']",71,2qxJFvFYMEDqd7ui6kSAcq,2QtJA4gbwe1AcanB2p21aP,https://i.scdn.co/image/ab6761610000f178f801e3d9ecb568a1c3c62393
Happy Now,Zedd,70,0.503,0.741,88.335,0.047,207029,"['Complextro', 'EDM', 'German Techno', 'Pop', 'Pop Dance']",71,2qxJFvFYMEDqd7ui6kSAcq,4keoy2fqgwGnbWlm3ZVZFa,https://i.scdn.co/image/ab6761610000f178f801e3d9ecb568a1c3c62393
I Want You To Know,Zedd,67,0.58,0.846,129.998,0.0573,240000,"['Complextro', 'EDM', 'German Techno', 'Pop', 'Pop Dance']",71,2qxJFvFYMEDqd7ui6kSAcq,1JDIArrcepzWDTAWXdGYmP,https://i.scdn.co/image/ab6761610000f178f801e3d9ecb568a1c3c62393
Where You Are,John Summit,77,0.56,0.832,126.0,0.0363,236000,"['House', 'Pop Dance', 'Tech House', 'UK Dance']",65,7kNqXtgeIwFtelmRjWv205,4qDpLaFGf5ampf2DXD2TMA,https://i.scdn.co/image/ab6761610000f178a1637fa8a03e46f33223f3f2
Better Than This,John Summit,70,0.673,0.839,125.03,0.0373,188160,"['House', 'Pop Dance', 'Tech House', 'UK Dance']",65,7kNqXtgeIwFtelmRjWv205,5OLSGox6JVpAyEQuoSYRcs,https://i.scdn.co/image/ab6761610000f178a1637fa8a03e46f33223f3f2
La Danza,John Summit,69,0.797,0.88,125.996,0.0442,157619,"['House', 'Pop Dance', 'Tech House', 'UK Dance']",65,7kNqXtgeIwFtelmRjWv205,2FEUloDXMvRnyfLcsrCfkw,https://i.scdn.co/image/ab6761610000f178a1637fa8a03e46f33223f3f2
Deep End - SIDEPIECE Remix,John Summit,57,0.763,0.665,126.025,0.0807,196666,"['House', 'Pop Dance', 'Tech House', 'UK Dance']",65,7kNqXtgeIwFtelmRjWv205,7JdiXX87BugXUDhQ89GEc8,https://i.scdn.co/image/ab6761610000f178a1637fa8a03e46f33223f3f2
What A Life (feat. Stevie Appleton),John Summit,68,0.677,0.732,126.018,0.031,171547,"['House', 'Pop Dance', 'Tech House', 'UK Dance']",65,7kNqXtgeIwFtelmRjWv205,587xXusqiMW9gSXkNK8Zxf,https://i.scdn.co/image/ab6761610000f178a1637fa8a03e46f33223f3f2
Make Me Feel,John Summit,64,0.767,0.669,126.013,0.0449,201904,"['House', 'Pop Dance', 'Tech House', 'UK Dance']",65,7kNqXtgeIwFtelmRjWv205,0RoGOiZUCQyqAZSPBSk75T,https://i.scdn.co/image/ab6761610000f178a1637fa8a03e46f33223f3f2
Human (feat. Echoes),John Summit,63,0.544,0.856,125.992,0.0314,219047,"['House', 'Pop Dance', 'Tech House', 'UK Dance']",65,7kNqXtgeIwFtelmRjWv205,4G4patpYxsF6ovHZOX9wgR,https://i.scdn.co/image/ab6761610000f178a1637fa8a03e46f33223f3f2
