Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Song Duration,Artist Genres,Artist Popularity,Artist uri,Song uri,Artist Image url
Pure Smile Snake Venom,Eartheater,47,0.688,0.872,138.023,0.0766,221106,"['Art Pop', 'Electra', 'Escape Room', 'Experimental Pop', 'Spectra']",51.0,18ca9d5EU5R1AhVKPR1cm0,2vP6Rn1x35ybWBctcdooEF,https://i.scdn.co/image/ab6761610000f178fa386a8a2e66375c11e5d3eb
But Not Kiss,Faye Webster,60,0.699,0.499,81.991,0.0379,222555,"['ATLanta Indie', 'Indie Pop']",71.0,5szilpXHcwOqnyKLqGco5j,78nMVqRwap5hysPgnziW4u,https://i.scdn.co/image/ab6761610000f1784935804c2a7f4d6a22525607
Lego Ring,Faye Webster,59,0.303,0.539,81.714,0.0336,163228,"['ATLanta Indie', 'Indie Pop']",71.0,5szilpXHcwOqnyKLqGco5j,2pcv2nqfX9zWYNm1iAfHKK,https://i.scdn.co/image/ab6761610000f1784935804c2a7f4d6a22525607
A Dream With a Baseball Player,Faye Webster,64,0.617,0.371,139.931,0.0356,221186,"['ATLanta Indie', 'Indie Pop']",71.0,5szilpXHcwOqnyKLqGco5j,7hNPcyHhNYLCtTFa5bxvX1,https://i.scdn.co/image/ab6761610000f1784935804c2a7f4d6a22525607
Underdressed at the Symphony,Faye Webster,66,0.599,0.369,118.021,0.0275,213355,"['ATLanta Indie', 'Indie Pop']",71.0,5szilpXHcwOqnyKLqGco5j,2WjEUnzuDhwlFpp9epgtrW,https://i.scdn.co/image/ab6761610000f1784935804c2a7f4d6a22525607
In A Good Way,Faye Webster,73,0.587,0.286,71.123,0.0315,224680,"['ATLanta Indie', 'Indie Pop']",71.0,5szilpXHcwOqnyKLqGco5j,2VYnlKxB8jpbCeLUjQsebc,https://i.scdn.co/image/ab6761610000f1784935804c2a7f4d6a22525607
Hurts Me Too,Faye Webster,65,0.464,0.299,95.548,0.0275,201120,"['ATLanta Indie', 'Indie Pop']",71.0,5szilpXHcwOqnyKLqGco5j,0uphGVj1uIticJK6gb2WnO,https://i.scdn.co/image/ab6761610000f1784935804c2a7f4d6a22525607
Kingston,Faye Webster,79,0.73,0.355,142.143,0.0359,202653,"['ATLanta Indie', 'Indie Pop']",71.0,5szilpXHcwOqnyKLqGco5j,5WbfFTuIldjL9x7W6y5l7R,https://i.scdn.co/image/ab6761610000f1784935804c2a7f4d6a22525607
Jonny,Faye Webster,67,0.609,0.232,79.821,0.0272,226506,"['ATLanta Indie', 'Indie Pop']",71.0,5szilpXHcwOqnyKLqGco5j,5tuBenbZ1Or9xENTyOKoGC,https://i.scdn.co/image/ab6761610000f1784935804c2a7f4d6a22525607
Ready For Your Love,Gorgon City,47,0.677,0.753,121.939,0.154,198880,"['Future Garage', 'House', 'Pop Dance', 'UK Dance']",62.0,4VNQWV2y1E97Eqo2D5UTjx,5wGLQvq6JoxYZX7V3ymPS5,https://i.scdn.co/image/ab6761610000f17808eedfcb1aec434fe60a46ec
House Arrest,Gorgon City,55,0.654,0.818,123.982,0.0332,216441,"['Future Garage', 'House', 'Pop Dance', 'UK Dance']",62.0,4VNQWV2y1E97Eqo2D5UTjx,3KJkOfudvW9zxBwjuRBK1G,https://i.scdn.co/image/ab6761610000f17808eedfcb1aec434fe60a46ec
You Know It,Gorgon City,56,0.765,0.907,127.996,0.065,235680,"['Future Garage', 'House', 'Pop Dance', 'UK Dance']",62.0,4VNQWV2y1E97Eqo2D5UTjx,64Kw68jjKqqYK5hQrCkrVT,https://i.scdn.co/image/ab6761610000f17808eedfcb1aec434fe60a46ec
Nobody,Gorgon City,54,0.697,0.664,120.041,0.0275,199013,"['Future Garage', 'House', 'Pop Dance', 'UK Dance']",62.0,4VNQWV2y1E97Eqo2D5UTjx,1pJwEPkqfgtmV68vYQ7RyD,https://i.scdn.co/image/ab6761610000f17808eedfcb1aec434fe60a46ec
