Artist,Artist Genres,Artist Popularity,Artist uri,Artist Image url
Nitepunk,['Dubstep'],39,6iPbI11utXY9CVhX6SPXEg,https://i.scdn.co/image/ab6761610000f178759085127a7ce586858ca1a6
Noizu,"['Bass House', 'House', 'Tech House']",57,3VRyybsQu0MDG0F2LBxnv7,https://i.scdn.co/image/ab6761610000f178890a93a8520e1ed6c1efc657
Paco Osuna,"['Minimal Techno', 'Spanish Techno', 'Techno']",31,6vdIozDDsH4uJEAHN8tyS3,https://i.scdn.co/image/ab6761610000f178a95268bdcada682b7a5b8ee3
Paul van Dyk,"['German Techno', 'Trance', 'Uplifting Trance']",54,7wU1naftD3lNq7rNsiDvOR,https://i.scdn.co/image/ab6761610000f178f35904b11572a8e8203064de
Pretty Pink,['German House'],45,78GHS9zWXcj8tBke222g5N,https://i.scdn.co/image/ab6761610000f178da94fe08c3af1f97958b4003
Robbie Rivera,"['Circuit', 'House', 'Tribal House']",39,4bYwbb6k4ujHD2NXRxSwRP,https://i.scdn.co/image/ab6761610000f1789a098d7453cdb096e4f67c07
SLUGG,[],0,47xmKtlpN9wRGScoRY8fI2,https://i.scdn.co/image/ab6761610000f178e6d7e3456d7371489f46e03a
San Holo,"['Brostep', 'EDM', 'Electro House', 'Electronic Trap', 'Future Bass', 'Pop Dance']",54,0jNDKefhfSbLR9sFvcPLHo,https://i.scdn.co/image/ab6761610000f178283643e4a44fc33f670dbad9
San Pacho,['Tech House'],49,5jBerZvTAajwYvdxt3UhgU,https://i.scdn.co/image/ab6761610000f17825a99e6d2d7e26d7b71d33a8
Sara Benyo,[],28,6jJS6oEAQ78VJ7RhG3KS4M,https://i.scdn.co/image/ab6761610000f17830cced457ff54083ab1da092
Seven Lions,"['Brostep', 'Complextro', 'Dubstep', 'EDM', 'Electro House', 'Melodic Dubstep', 'Pop Dance', 'Progressive Trance']",58,6fcTRFpz0yH79qSKfof7lp,https://i.scdn.co/image/ab6761610000f1780e2455fef5a36516cb23269d
Ship Wrek,['Stutter House'],51,1ic0FHNGIjXZAWH6O6Reif,https://i.scdn.co/image/ab6761610000f17868edd459caf8439c3d4303ed
Steve Aoki,"['EDM', 'Electro House', 'Pop Dance']",70,77AiFEVeAVj2ORpC85QVJs,https://i.scdn.co/image/ab6761610000f1785fb007a707c0ec3a7c1726af
SubDocta,"['Brostep', 'Dubstep', 'Filthstep', 'Glitch Hop']",33,2fRdiG5FNFFs4OjG7p6yxk,https://i.scdn.co/image/ab6761610000f178c699b72600cfd26bff2037ac
Subtronics,['Brostep'],60,3NJ94iuAmmMjbszODYT6pO,https://i.scdn.co/image/ab6761610000f178d331b4900584fc95b630f403
The Chainsmokers,['Pop'],78,69GGBxA162lTqCwzJG5jLp,https://i.scdn.co/image/ab6761610000f178db68d678df6d89bf8a55d052
Thunderpony,[],6,4TifUgz8hmW4eLpADPDeVZ,https://i.scdn.co/image/ab67616d00004851aad57082696a00f91a48afff
Tini Gessler,['Latin Tech House'],29,5k1fr2qbGZrk40njMAyv0x,https://i.scdn.co/image/ab6761610000f178b4168f5f940dc16cabc9edb6
Todd Terry,"['Classic House', 'Deep House', 'Diva House', 'Garage House', 'Hip House']",50,3dE92yGWcrboP1kC5SWyqu,https://i.scdn.co/image/62404fed22cde2ae0e17d7d61b9da5a14943b476
Valentino Khan,"['Brostep', 'EDM', 'Electro House', 'Electronic Trap', 'Moombahton']",51,0deIjoDjl9g9Zpw0sCIOHh,https://i.scdn.co/image/ab6761610000f178171aeed81d96e0e6e00f1770
Virtual Riot,"['Brostep', 'Complextro', 'Dubstep', 'Gaming Dubstep']",49,4FXGRMSHh2JjHxVwS8dhH1,https://i.scdn.co/image/ab6761610000f1786c406665423f5eac0024e689
WILLOW,"['Afrofuturism', 'Pop', 'Post-Teen Pop', 'POV: Indie']",69,3rWZHrfrsPBxVy692yAIxF,https://i.scdn.co/image/ab6761610000f17819d0f58755eaf68afbf677f2
Wax Motif,"['Bass House', 'Electro House', 'Tech House']",53,7zm3aSdmGiOkTt0aZFSO8R,https://i.scdn.co/image/ab6761610000f178205858ca71a03e7a868c919e
Westend,"['Bass House', 'Tech House']",55,4epc3Bd0DOBA0kDywkRAsu,https://i.scdn.co/image/ab6761610000f17810196daa1dcfde24025bc532
Wilkinson,"['Dancefloor DnB', 'Drum And Bass', 'UK Dance']",59,6m8itYST9ADjBIYevXSb1r,https://i.scdn.co/image/ab6761610000f17888ee8f3e3d47ed6e6c60d7f4
Yotto,"['Finnish EDM', 'Melodic House', 'Progressive House']",56,5Dyfxq0ZrFjjeFBdSNxDbo,https://i.scdn.co/image/ab6761610000f178682b390816e839d3521fadfe
ZEDDY WILL,[],46,1alf4P7GDe5aNpALBzWIGf,https://i.scdn.co/image/ab6761610000f1780da1fa61572650cacb649f17
